"title","location","price","stars","numReviews","url","habitaciones","camas","baños"
"Villa Nikara a 5 minutes walk from Berawa Beach","Kuta Utara, Bali, Indonesia",205,4,104,"https://nextviaje.vercel.app/detalles/villa-nikara-a-5-minutes-walk-from-berawa-beach",3,2,1
"Stunning Designer Home-Anjali Suite","Ubud, Bali, Indonesia",534,3,59,"https://nextviaje.vercel.app/detalles/stunning-designer-homeanjali-suite",3,1,1
"Hidden Escape Pool & Wifi","Denpasar, Bali, Indonesia",977,5,34,"https://nextviaje.vercel.app/detalles/hidden-escape-pool-and-wifi",1,3,1
"BEAUTIFUL ROOM WITH PRIVATE POOL","Ubud, Bali, Indonesia",793,2,64,"https://nextviaje.vercel.app/detalles/beautiful-room-with-private-pool",1,3,1
"Modern & Spacious - Short Walk to Beach/Shops/Food","Kuta Utara, Bali, Indonesia",914,3,254,"https://nextviaje.vercel.app/detalles/modern-and-spacious-short-walk-to-beach-shops-food",2,2,1
"ROMANTIC GETAWAY - ARCHITECTURAL MASTERPIECE","Kuta Utara, Bali, Indonesia",998,5,84,"https://nextviaje.vercel.app/detalles/romantic-getaway-architectural-masterpiece",3,2,1
"Bamboo eco cottage in rice fields","Ubud, Bali, Indonesia",248,1,97,"https://nextviaje.vercel.app/detalles/bamboo-eco-cottage-in-rice-fields",3,1,2
"Tropical Suite Villa private pool 5","Canggu, Bali, Indonesia",76,3,87,"https://nextviaje.vercel.app/detalles/tropical-suite-villa-private-pool-5",1,3,1
"180° VIEW, PRIVATE POOL VILLA..","Singaraja, Bali, Indonesia",757,5,74,"https://nextviaje.vercel.app/detalles/180-view-private-pool-villa",3,1,1
"Antique garden cabins with HEART! 3","Denpasar, Bali, Indonesia",172,4,63,"https://nextviaje.vercel.app/detalles/antique-garden-cabins-with-heart-3",3,1,1
"Aura House 2bds Eco Bamboo House, Pool, River View","Abiansemal, Bali, Indonesia",701,3,44,"https://nextviaje.vercel.app/detalles/aura-house-2bds-eco-bamboo-house-pool-river-view",3,1,1
"Secret Spot near the beach","Kuta, Legian, Bali, Indonesia",218,4,78,"https://nextviaje.vercel.app/detalles/secret-spot-near-the-beach",1,2,1
"LUXURY,COSY & PRIVATE VILLA","Canggu, Bali, Indonesia",356,5,235,"https://nextviaje.vercel.app/detalles/luxury-cosy-and-private-villa",1,3,1
